bXcSLI58-h8,Lil Nas X - Panini (Official Video),92939705,,"Premiered Sep 5, 2019",Music,r7qovpFAGrQ,"['XhTHyIgQ_U', 'Dkk9gvTmCXY', 'oOni4BMeMp0', 'P00HMxdsVZI', 'E2Ira-Cwxo', 'LlU4FuIJT2k', 'lxRwEPvL-mQ', 'u2n7VVGv_c', 'mt2zvsvkKKo', 'YIALlhlyqO4', '1XzY2ij_vL4', 'kx0Z0B8Xox0', 'DmWWqogr_r8', 'LYa_ReqRlcs', '2Ov5jzm3j8', 'WILNIXZr2oc', 'ba7mB8oueCY']"
ba7mB8oueCY,"Post Malone - ""Goodbyes"" ft. Young Thug (Rated R)",69449700,,"Published on Jul 4, 2019",Age-restricted video (based on Community Guidelines),,[]
lxRwEPvL-mQ,NF - When I Grow Up,52028840,,"Published on Jun 27, 2019",Music,E1ZVSFfCk9g,"['dBzJRdy33M', 'fbHbTBP_u7U', 'Kb24RrHIbFk', 'SNhOgS3BHjw', 'FxQTY-W6GIo', 'I_QpDE-Uco0', 'u2n7VVGv_c', 'OzQMCyPc8o', '_WrMzFlLk7Q', 'CxnaPa8ohmM', 'DmWWqogr_r8', 'SsKT0s5J8ko', 'fnlJw9H0xAM', 'XGGWhOUYObc', 'ZAfAud_M_mg', 'UYwF-jdcVjY', 'Po5zT1krKOc']"
LYa_ReqRlcs,"Post Malone - Take What You Want (Audio) ft. Ozzy Osbourne, Travis Scott",13386714,,"Published on Sep 9, 2019",Music,4EQkYVtE-28,"['Kt-tLuszKBA', 'H-IHMQZkFVQ', 'gqthPT8vK7o', '9XaS93WMRQQ', 'LwXXeZmIaA', 'eXLPdJR-9oE', 'r7Rn4ryE_w8', 'sMmTkKz60W8', '8fBimVfIwGQ', 'uXyxFMbqKYA', '5ClCaPmAA7s', 'G3LvhdFEOqs', 'SPW22-RUM1k', '-kQVnqVwz_A', 'CmTRAr2XhaE', 'Tvj0k3ligI', 'E1ZVSFfCk9g', '3cWl9by0wJo']"
YIALlhlyqO4,"Doja Cat, Tyga - Juicy (Official Video)",30200699,,"Published on Aug 15, 2019",Music,TLiGA_wrNp0,"['i_vMte-NHkY', 'FKXSh14svlQ', 'C_yI2959DYU', 'QsZUVMwEls', 'X2kPLQEFR6Y', 'WILNIXZr2oc', 'DApzVVyNMRI', 'P00HMxdsVZI', '7Nbv3reNErw', 'Y-fqWMaXb8A', 'Qf06109Zivo', '6OLNQiYbGLQ', 'DmWWqogr_r8', 'l_lblj8Cq0o', 'XaCrQL_8eMY', 'DE81yGg7vls', 'ZRHHOttkM1A']"
DmWWqogr_r8,21 Savage - a lot ft. J. Cole,175356833,,"Published on Feb 1, 2019",Music,ue5oHmUGiMM,"['WILNIXZr2oc', 'R_1EP18eo', '_4gUVl5pjps', '_RXIH8WZzQU', '6ONRf7h3Mdk', 'OA8aw07dpg0', 'SsKT0s5J8ko', 'dzmlBQmieOo', '-HmtzK0VDio', 's8QSTerhk8E', 'smqhSl0u_sI', 'Kbj2Zss-5GY', 'HU6ZRQJ50Q', 'LPFXR4ER890', 'G8Hp-AKrfm0', 'CWh-TmG_h7g', 'oOni4BMeMp0']"
LlU4FuIJT2k,Lil Dicky - Professional Rapper (Feat. Snoop Dogg),158816035,,"Published on Jul 31, 2015",Music,yvHYWD29ZNY,"['paG1-lPtIXA', 'CzgjglZqS3Y', 'ExVtrghW5Y4', 'eDuRoPIOBjE', 'ITsekUaw6N4', '_dw-Q6seOOk', 'LAOoF2gyQaA', 'AOgBg2up7Jg', 'nbqguu8NsM4', 'ocGiulPm3IU', '9BRCctVrdT4', '43gm3CJePn0', '6ONRf7h3Mdk', 'PGNIAtv40E', 'Zla1ttZHaw', '1RZkIPlUosE', 'eQkSArQxYJg']"
1XzY2ij_vL4,Lil Tecca - Ransom (Dir. by @_ColeBennett_),141743214,,"Published on May 22, 2019",Entertainment,bXcSLI58-h8,"['WILNIXZr2oc', '-thh5_bpGGY', 'zYbExfVIY', 'nceqQyqIa5o', '-z6tnA8DfG8', 'Oq8z-U3bPgo', 'LlU4FuIJT2k', 'YdrUe_IFSjs', 'THcVOf1kNh0', 'R9RtTGzs5EE', 'lxRwEPvL-mQ', 'oOni4BMeMp0', 'g-uW3I_AtDE', '6ONRf7h3Mdk', '6L_k74BOLag', '5XK4v2fgMPU', '2KDlDuS6r6I']"
kx0Z0B8Xox0,"Lil Nas X, Cardi B - Rodeo (Official Audio)",60295796,,"Published on Jun 20, 2019",Music,bXcSLI58-h8,"['2Ov5jzm3j8', 'Oq8z-U3bPgo', 'I_QpDE-Uco0', 'n3WqtDarwCQ', 'ibvxfN7G6Gs', 'oOni4BMeMp0', 'U68MJz9DrI4', 'Dkk9gvTmCXY', 'l_lblj8Cq0o', 'y2cFkVfVf2Y', 'eLgxYjZEflI', 'S5n9emOr7SQ', 'YIALlhlyqO4', 'P00HMxdsVZI', '1PrWA4C8eLw', 'mt2zvsvkKKo', 'yvHYWD29ZNY']"
wXhTHyIgQ_U,Post Malone - Circles,40142301,,"Premiered Sep 3, 2019",Music,rbHIDVVTSNA,"['5GrxfjuTTI', 'u2n7VVGv_c', 'UYwF-jdcVjY', 'E2Ira-Cwxo', 'bi70fR-r8pc', 'I_QpDE-Uco0', 'S4asq3SicN0', 'E1ZVSFfCk9g', 'ba7mB8oueCY', 'iYJoahPxhR8', '4GFAZBKZVJY', 'ZAfAud_M_mg', 'CxnaPa8ohmM', 'mj0XInqZMHY', 'SC4xMk98Pdc', 'LYa_ReqRlcs', '5hqK-A0UxKw']"
r7qovpFAGrQ,Lil Nas X - Old Town Road (Week 17 Version) ft. Billy Ray Cyrus,66833677,,"Published on Jul 18, 2019",Music,2L5kE1-NOVc,"['UprcpdwuwCg', 'ApXoWvfEYVU', 'Kt-tLuszKBA', 'u2n7VVGv_c', 'YVkUvmDQ3HY', '2Ov5jzm3j8', 'BVGlBWQzuc', 'lwk5OUII9Vc', 'EyBooxCkF3A', 'xpVfcZ0ZcFM', 'OPf0YbXqDm0', 'Dkk9gvTmCXY', 'JOTlE1K90k', 'DyDfgMOUjCI', 'bXcSLI58-h8', '7wtfhZwyrcc', 'eJnQBXmZ7Ek']"
P00HMxdsVZI,Lizzo - Truth Hurts (Official Video),117867583,,"Published on Sep 25, 2017",Music,XaCrQL_8eMY,"['JR49dyo-y0E', 'bo_efYhYU2A', 'DFiLdByWIDY', 'bhRNpuvjvXo', 'Dkk9gvTmCXY', 'yvHYWD29ZNY', 'WmEmsWsTKQk', 'FjBp30kjzTc', 'BVGlBWQzuc', 'oOni4BMeMp0', 'E2Ira-Cwxo', '2Ov5jzm3j8', 'mTjQq5rMlEY', '_dw-Q6seOOk', 'SmbmeOgWsqE', '6L_k74BOLag', 'HQliEKPg1Qk']"
